name,TRI,mean_elev,median_elev,min_elev,max_elev,mean_csi,sd_csi,n_habitat,archipelago
Andros.34,3.27517833,3.570281124,4,0,9,0.157920964,0.019254145,5,carib
Andros.35,3.33057971,4.334883721,4,1,8,0.145702161,0.021101526,5,carib
Andros.36,3.621661214,4.110689655,4,-58,65,0.131619439,0.001185549,11,carib
Andros.37,9.704189477,3.230538922,4,-53,33,0.161301874,0.015937188,7,carib
Andros.38,4.333971607,3.385714286,3,-37,9,0.16250737,0.018658683,8,carib
Andros.39,5.059305537,4.132550336,4,-14,22,0.140977398,NA,8,carib
Andros.4,4.40322885,4.245614035,4,-14,28,0.124725964,0.001611879,7,carib
Andros.40,9.967168683,3.909090909,4,-30,62,0.140977398,NA,5,carib
Andros.41,3.82334225,3.253061224,3,-3,9,0.129815211,0.000270556,7,carib
Andros.42,3.855507774,3.298657718,4,-14,6,0.166662484,0.00835614,5,carib
Andros.5,2.590759833,3.901734104,4,1,8,0.138956286,0.004945121,5,carib
Andros.6,2.809132957,3.784922395,4,1,8,0.126496769,0.001580602,6,carib
Andros.7,14.8747891,4.90990991,5,-64,85,0.135708764,NA,7,carib
Andros.8,14.83021624,3.36453202,3,-43,48,0.140532322,0.004349818,7,carib
Andros.9,2.667084234,3.250773994,3,0,6,0.139189094,0.004960747,8,carib
Anegada,3.121981684,2.917880795,3,-28,11,0.150579358,0.006543919,12,carib
Anguilla,8.427062048,21.32821413,19,-11,85,0.141536027,0.002259744,10,carib
Anguilla Cay,6.100783758,8.452887538,8,2,14,0.146521375,0.001021011,4,carib
Antigua,20.62964241,48.4364339,30,-397,383,0.144811836,0.007687098,24,carib
August Cay,2.670562861,2.03125,2,-2,8,0.167640209,NA,12,carib
Baliceaux,44.65344622,45.09958506,39,3,112,0.165782809,0.000351252,17,carib
Bamboo Cay,5.751296325,6.465976331,5,-12,77,0.163965091,NA,7,carib
Barbados,11.5510786,106.9035954,82,-22,336,0.165474817,0.00209431,18,carib
Barbuda,3.519902044,13.21282513,9,-130,71,0.136884051,0.010097821,9,carib
Barbuda.1,3.652754298,4.610421836,5,-1,10,0.14692894,0.016680964,10,carib
Basin Harbour Cay,5.006589952,3.606508876,3,-1,11,0.176299833,0.002482924,5,carib
Beef,33.27871787,35.4386423,12,-17,205,0.152165741,NA,5,carib
Bell Island,8.361234407,9.551020408,9,-16,20,0.130038098,NA,11,carib
Bequia,54.33090563,85.80123372,78,-15,256,0.175590098,NA,17,carib
Big Ambergris Cay,6.284269864,5.454035874,5,-5,22,0.201285591,0.019402563,13,carib
Big Coppice Mangrove,9.050320471,-0.070217918,1,-26,3,0.159568364,0.03636668,6,carib
Big Cross Cay,14.74075084,-2.428571429,0,-55,24,0.173641972,0.001583236,10,carib
Big Cross Cay.1,2.228567453,-0.371698113,0,-4,3,0.174755111,0.000503339,11,carib
Big Farmer?s Cay,8.232782393,9.319196429,9,-18,26,0.135631685,0.004497327,5,carib
Big Joe Downer Cay,5.172517358,0.797188755,1,-19,5,0.169320181,0.006946412,9,carib
Big Lake Cay,27.95649877,-3.601851852,1,-80,14,0.186865836,NA,6,carib
