"scientificName","acceptedScientificName","decimalLatitude","decimalLongitude","basisOfRecord","occurrenceStatus","genericName","specificEpithet","datasetKey","Species","featurecla","name","areas"
"Neolamprologus tetracanthus (Boulenger, 1899)","Neolamprologus tetracanthus (Boulenger, 1899)",-8.21667,30.58333,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","tetracanthus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus tetracanthus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus tetracanthus (Boulenger, 1899)","Neolamprologus tetracanthus (Boulenger, 1899)",-8.08333,30.56667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","tetracanthus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus tetracanthus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus mondabu (Boulenger, 1906)","Neolamprologus mondabu (Boulenger, 1906)",-6.96667,29.75,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","mondabu","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus mondabu","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus modestus (Boulenger, 1898)","Neolamprologus modestus (Boulenger, 1898)",-8.08333,30.56667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","modestus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus modestus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus tetracanthus (Boulenger, 1899)","Neolamprologus tetracanthus (Boulenger, 1899)",-6.96667,29.75,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","tetracanthus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus tetracanthus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus fasciatus (Boulenger, 1898)","Neolamprologus fasciatus (Boulenger, 1898)",-8.08333,30.56667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","fasciatus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus fasciatus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus mondabu (Boulenger, 1906)","Neolamprologus mondabu (Boulenger, 1906)",-6.96667,29.75,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","mondabu","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus mondabu","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus modestus (Boulenger, 1898)","Neolamprologus modestus (Boulenger, 1898)",-5.15,29.23333,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","modestus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus modestus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus tetracanthus (Boulenger, 1899)","Neolamprologus tetracanthus (Boulenger, 1899)",-6.98333,29.8,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","tetracanthus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus tetracanthus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus brevis (Boulenger, 1899)","Neolamprologus brevis (Boulenger, 1899)",-5.95,29.85,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","brevis","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus brevis","Lake","Lake Tanganyika",32896759543.8782
"Lamprologus pleuromaculatus Trewavas & Poll, 1952","Neolamprologus pleuromaculatus (Trewavas & Poll, 1952)",-4.28333,29.55,"PRESERVED_SPECIMEN","PRESENT","Lamprologus","pleuromaculatus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Lamprologus pleuromaculatus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus multifasciatus (Boulenger, 1906)","Neolamprologus multifasciatus (Boulenger, 1906)",-5.95,29.85,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","multifasciatus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus multifasciatus","Lake","Lake Tanganyika",32896759543.8782
"Lamprologus pleuromaculatus Trewavas & Poll, 1952","Neolamprologus pleuromaculatus (Trewavas & Poll, 1952)",-3.81667,29.13333,"PRESERVED_SPECIMEN","PRESENT","Lamprologus","pleuromaculatus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Lamprologus pleuromaculatus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus tetracanthus (Boulenger, 1899)","Neolamprologus tetracanthus (Boulenger, 1899)",-3.81667,29.13333,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","tetracanthus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus tetracanthus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus toae (Poll, 1949)","Neolamprologus toae (Poll, 1949)",-4.51667,29.16667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","toae","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus toae","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus brevis (Boulenger, 1899)","Neolamprologus brevis (Boulenger, 1899)",-3.46667,29.31667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","brevis","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus brevis","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus mondabu (Boulenger, 1906)","Neolamprologus mondabu (Boulenger, 1906)",-7.33333,30.28333,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","mondabu","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus mondabu","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus splendens (Brichard, 1989)","Neolamprologus splendens (Brichard, 1989)",-7.33333,30.28333,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","splendens","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus splendens","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus tretocephalus (Boulenger, 1899)","Neolamprologus tretocephalus (Boulenger, 1899)",-5.53333,29.36667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","tretocephalus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus tretocephalus","Lake","Lake Tanganyika",32896759543.8782
"Lamprologus sexfasciatus Trewavas & Poll, 1952","Neolamprologus sexfasciatus (Trewavas & Poll, 1952)",-7.33333,30.28333,"PRESERVED_SPECIMEN","PRESENT","Lamprologus","sexfasciatus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Lamprologus sexfasciatus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus pleuromaculatus (Trewavas & Poll, 1952)","Neolamprologus pleuromaculatus (Trewavas & Poll, 1952)",-3.96667,29.41667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","pleuromaculatus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus pleuromaculatus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus modestus (Boulenger, 1898)","Neolamprologus modestus (Boulenger, 1898)",-4.51667,29.16667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","modestus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus modestus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus mondabu (Boulenger, 1906)","Neolamprologus mondabu (Boulenger, 1906)",-5.93333,29.2,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","mondabu","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus mondabu","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus mondabu (Boulenger, 1906)","Neolamprologus mondabu (Boulenger, 1906)",-5.53333,29.36667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","mondabu","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus mondabu","Lake","Lake Tanganyika",32896759543.8782
"Lamprologus tretocephalus Boulenger, 1899","Neolamprologus tretocephalus (Boulenger, 1899)",-5.54863,29.34725,"PRESERVED_SPECIMEN","PRESENT","Lamprologus","tretocephalus","4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","Lamprologus tretocephalus","Lake","Lake Tanganyika",32896759543.8782
"Lamprologus savoryi Poll, 1949","Neolamprologus savoryi (Poll, 1949)",-5.53333,29.36667,"PRESERVED_SPECIMEN","PRESENT","Lamprologus","savoryi","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Lamprologus savoryi","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus tetracanthus (Boulenger, 1899)","Neolamprologus tetracanthus (Boulenger, 1899)",-6.5,29.5,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","tetracanthus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus tetracanthus","Lake","Lake Tanganyika",32896759543.8782
