"SpeciesName","Genus","Species","Longitude","Latitude","First","Second","Third","datasetKey","areas"
"Tropidophis feicki Schwartz, 1957","Tropidophis","feicki","-83.183706","22.61477","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.11937","19.89888","USA","Guantanamo","East","50c9509d-22c7-4a22-a47d-8c48425ef4a7",268312500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-81.603506","22.306852","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-83.006753","22.79297","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-83.005955","22.791068","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis wrighti Stull, 1928","Tropidophis","wrighti","-76.321282","19.970597","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-76.289062","21.002471","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.804489","20.482887","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-69.963299","18.426829","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-69.896054","18.45987","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis feicki Schwartz, 1957","Tropidophis","feicki","-83.308889","22.669444","Cuba",NA,NA,"832b8188-f762-11e1-a439-00145eb45e9a",1.22e+11
