"name","area"
"Andros.41",1241394.928
"Big Major?s Spot",1137168.155
"Big Mangrove Cay",1112552.996
"Bird Cay",1091942.89
"Bowe Cay",1114771.747
"Brigantine Cay",1229359.371
"Cave Cay",1093158.511
"Cay Sal",1256102.559
"Cayo Boca Ciega",1094832.998
"Cayo del Pasaje",1147940.928
"Cayo Diego",1105692.748
"Cayo DoÃ±a MarÃ­a",1144591.249
"Cayo Flamenco",1105413.515
"Cayo La Grifa",1113530.589
"Cayo La Vieja Pepilla",1111898.467
"Cayo Norte",1238858.408
"Cayo Providencia",1255912.779
"Cayo Puerco",1166418.819
"Cayo Quitasol",1150024.949
"Cayo Traviesa",1135004.893
"Cayos Cinco Balas.2",1130461.537
"Cayos los Cayuelos",1229357.13
"Cotton Cay.1",1077680.337
"Desecheo",1186876.211
"Dilly Cay",1219924.759
"East Caicos.1",1154161.34
"Flamingo Cay",1072467.508
"Great Abaco.1",1152820.288
"Great Abaco.19",1077667.242
"Great Abaco.7",1195932.717
"Great Exuma.3",1084195.669
"Great Stirrup Cay",1216595.585
"Great Thatch",1078500.702
"Hog Cay.1",1128267.853
"ÃŽle Corny",1135742.493
"ÃŽlet Ã  Fajou",1094572.187
"Jackson's Cay",1243969.889
"Little Bells Cay",1184551.12
"Little Harbour Cay",1183873.88
"Little Tobago",1176649.45
"Long Island",1272349.506
"Mangrove Cay.1",1176698.535
"Petite Cayemite",1206848.437
"Tintamarre",1251173.71
"Turks and Caicos",1141456.381
