"","island","mean","sd"
"463","Great Stirrup Cay",0.135064870119095,0.00555560790988775
"464","Elbow Cay",0.151520481705666,0.0190692660589974
"465","Upper Sandy Harbour",0.188736349344254,0.000299390138397136
"466","Big Cross Cay",0.174755111336708,0.000503338738341352
"467","Cross Cays",0.175111025571823,NA
"468","Little Cave Cay",0.174672499299049,0.000533326221056853
"469","Allan Cay",0.176687709987164,0.000168239682543361
"470","Great Sale Cay",0.190043079853058,0.00551201418728215
"471","Old Yankee Land",0.187104620039463,0.00753365434091316
"472","Grand Cay",0.195031099021435,0.00822762327506928
"473","Little Tobago",0.148096948862076,0.0088798562924875
"474","Union",0.151559263467789,NA
"475","Mayreau",0.160217389464378,NA
"476","Canouan",0.157245323061943,NA
"477","Mustique",0.166610918939114,0.000282626229401928
"478","Baliceaux",0.165782809257507,0.000351251835489791
"479","A Quatre",0.17423902079463,0.00580409776674497
"480","Bequia",0.175590097904205,NA
"481","Terre de Haut",0.144711691886187,0.00473975938989618
"482","Caja de Muertos",0.136704877018929,NA
"483","Mona",0.147178113460541,0.0163787556734209
"484","Saint Martin/Sint Maarten",0.15034457296133,0.0106157278694413
"485","Tintamarre",0.141449376940727,0.000456703250464048
"486","Cayo Luis Pena",0.146071590483189,0.00705410749855621
"487","de Culebra",0.151273988187313,0.000303193891475244
"488","Culebrita",0.139387235045433,NA
"489","Norman",0.150767557322979,0.0070074720106789
"490","Water",0.143255412578583,0.00287755500865703
"491","St. Thomas",0.164693970233202,0.00535890595317095
"492","Cayo Norte",0.145720019936562,0.00532208315302809
"493","Peter",0.167606011033058,0.0290012415043815
"494","St. John",0.155621699988842,0.0272352618976033
"495","Desecheo",0.23640051484108,NA
"496","Cooper",0.170661464333534,0.0336956340547664
"497","Great Thatch",0.144412197172642,0.00417642604935364
"498","Ginger",0.150668635964394,NA
"499","Hans Lollik",0.145146250724792,0.00106151052659538
"500","Navassa",0.221327751874924,NA
"501","Beef",0.152165740728378,NA
"502","Tortola",0.166638672351837,0.0182421489806246
"503","Jost Van Dyke",0.155797392129898,0.0139502047460555
"504","Guana",0.149438008666039,NA
"505","Great Camanoe",0.148393511772156,0.00533473735026641
"506","Virgin Gorda",0.157731525599957,0.0194714120068358
"507","Anegada",0.150579358140628,0.00654391885207101
"508","Little Ambergris Cay",0.212556779384613,0.0405493043064587
"509","Big Ambergris Cay",0.201285590728124,0.019402562696917
"510","Salt Cay",0.21263000741601,0.0324367064895709
"511","Cotton Cay",0.182794347405434,NA
"512","Turks and Caicos",0.188895930846532,0.0226842001674946
"513","South Caicos",0.174920529127121,NA
"514","West Caicos",0.20160469164451,0.026207152454992
"515","Mangrove Cay",0.215319782495499,NA
