"SpeciesName","Genus","Species","Longitude","Latitude","datasetKey"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.335138,20.664057,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.323753,20.694324,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-155.486476,19.606571,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.378312,20.638835,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-155.512553,19.793171,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.347733,20.746285,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.317652,20.741009,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.306125,20.644597,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-155.471472,19.78,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-155.575038,19.633461,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.244418,20.701035,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-155.536669,19.703441,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.240401,20.685225,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.366397,20.743243,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.24982,20.771639,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.215309,20.698101,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.289128,20.730529,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.316513,20.778111,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-155.528197,19.63003,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-155.533684,19.678433,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.372704,20.658532,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.39799,20.606526,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.395008,20.728486,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.245946,20.664287,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-155.57771,19.689982,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-156.289814,20.698193,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-155.598993,19.7488,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-155.679373,19.990238,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-155.563868,19.797528,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-155.519011,19.674055,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-155.53152,19.794384,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium sandwicense DC.","Argyroxiphium","sandwicense",-155.401351,19.62089,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
