"name","TRI","mean_elev","median_elev","min_elev","max_elev","Nearest_Dist","nearest_occ","richness","area","mean_csi","sd_csi","bp"
"Great Abaco.6",64.0250436335092,-16.0210378681627,0,-481,25,3956.99300537396,114746.644042381,0,3585617.85,0.100736411909262,0.00489827157805187,0
"Great Abaco.7",57.282901280125,-2.09583333333333,1,-195,69,1995.77061481168,118949.013850362,0,1195932.717,0.10223975777626,0,0
"Great Abaco.9",150.778573135463,-29.8909090909091,0,-621,130,2040.28789419403,116969.966195467,0,1337656.798,0.10431569814682,0.00293582302672335,0
"Great Camanoe",51.6413841521778,62.7651757188498,58,2,158,3850.65220994471,11474.9813634618,0,3324502.677,0.148393511772156,0.00533473735026641,0
"Great Exuma",4.73385680374086,7.05783334295779,6,-9,33,13235.4871592286,0,2,178000013,0.135689289867878,0.0088162137504113,0
"Great Exuma.1",3.80338582070051,2.73321554770318,2,-2,13,8465.63884670106,13235.4871592286,0,5798388.045,0.132176123559475,0.000314447100027653,0
"Great Exuma.3",7.22554403940837,2.9,3,-17,6,11775.8925330359,17309.3917865745,0,1084195.669,0.138248734176159,0.00943045218472169,0
"Great Goat Island",16.2545655016634,21.3707753479125,9,-124,100,41089.5101317695,41089.5101317695,0,5341955.49,0.156546987593174,0.00299987569974778,0
"Great Guana Cay",5.9376608063002,5.47549909255898,5,-4,18,6877.29505563437,126086.344083588,0,5512094.072,0.166142210364342,0,0
"Great Guana Cay.1",8.98391662552613,10.9515472312704,10,-23,37,14336.824371284,71384.6995033238,0,12623811.37,0.140915803611279,0.00115601429766893,0
"Great Inagua",2.55821402334208,5.26188980464189,5,-52,47,58867.5691550043,0,1,1532737285,0.173397846710988,0.00794651515968903,0
"Great Sale Cay",2.70980214937474,1.37641723356009,1,-11,8,17421.5002162374,44769.7412944178,0,6625151.037,0.190043079853058,0.00551201418728215,0
"Great Stirrup Cay",12.4158224535786,8.60251046025105,8,-29,20,10105.2426074601,101747.314614147,0,1216595.585,0.135064870119095,0.00555560790988775,0
"Great Thatch",66.1325930750429,57.5369458128079,45,1,174,5313.10468957089,5313.10468957089,0,1078500.702,0.144412197172642,0.00417642604935364,0
"Green Cay",6.43346294185571,7.375,7,-6,24,47534.9422466064,73475.5996388101,0,2331489.247,0,0,0
"Green Turtle Cay",6.6363416188763,4.49290322580645,5,-24,17,7450.76228232209,107372.302064908,0,3868600.475,0.175829757004976,0.00464336727220142,0
"Grenada",41.5191228764217,210.106800849671,163,-1416,815,23737.7610964687,0,2,314966480.5,0.143563139651503,0.00505951677252505,0
"Guadeloupe",27.3152069254501,187.591540446288,60,-259,1454,13432.6905513354,86746.2406424099,0,1448413088,0.149762074010713,0.00881951584166047,0
"Guana",60.8317920330865,75.8729582577133,61,2,225,3897.91053034708,8354.95864447764,0,2940265.921,0.149438008666039,0,0
"Halls Pond Cay",7.27355329965422,8.66492146596859,9,-19,17,5328.0573983312,84352.4459350626,0,1955595.208,0.129237502813339,0.00550003729012614,0
"Hans Lollik",57.6429223166,76.1698113207547,64,3,209,6363.7225546275,6363.7225546275,0,1964857.33,0.145146250724792,0.00106151052659538,0
"Harbour Island",9.44197291851044,15.9945454545455,16,-4,33,14644.3982191427,54782.1916809776,0,2780624.591,0.123798735439777,0.00426031935131457,0
"Hawksbill Cay",5.59247185836059,7.75978647686833,7.5,1,17,5271.50639860621,79557.4712664591,0,2831291.196,0.120408948510885,2.99611409351818e-05,0
